block_number,tx_hash,market,liquidator,borrower,repay_amount_raw,seize_tokens_raw
50270739,0x42a71a45e021a7cf8766019cb63a8fc41ee9150fac763e9698122ea8b751abfc,0xF877ACaFA28c19b96727966690b2f44d35aD5976,0xf0d78212ACdBc2F6663D1eAC3eC1B5F27815e925,0xFB0857E91Ca6aC98FEB8748BFD4532E785d8FA64,950000,3488961031876
50271730,0x39593b9734b6511e726d9b7c203ea36c5ec24cd09650a8ad87a28dd47613fd88,0x628ff693426583D9a7FB391E54366292F509D457,0x41c19396CF31B68878FAdE8d75244ec9492f5F1E,0xA635C90d2f1CF969f1f1f662b23Daa198F2888ee,1856445339735712,21228486693
50271754,0x9636bceceaaa4442a8cbd2162cd3b0f0d1285eccc981b4817a8b9f9781aeb514,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0x3623c921bfD9d7E9D88E5CBb436B68bE2C2Bc0B7,0x047baadb43555B3400Fc65c498a0D54C4CE0F2c8,8735241,86800142266
50278720,0xcabc1e7fea72026c9e078bb552ab9ec8ed02baeae6fc4818348d7efe54fec1e9,0x628ff693426583D9a7FB391E54366292F509D457,0xc6b846213E588e8f525C77d40c56bF91437B0e8e,0x8D4bBb3940323CDaEFF46aD422972714134eBf6c,13315381030788889,155265890600
50279080,0xf768c86c3616e88c7097918d5b90331e83ca3cb179de6138236c920bd7819d5f,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0x0cb88F9D6B41fa0fA1A8b6e817d364F9Ce3AD96d,184026145246553,2162964736
50280145,0x853dcd4f7d367781cdbde9ba8353a8f785a59ea0a6d29589703b9a4a9a0412b8,0x628ff693426583D9a7FB391E54366292F509D457,0xEDff65B59d62195965561b66Ce840651607Ae0CD,0xAE7B0FC3eC05b13A390d115D8b28a5b905C712D9,122320529043358,1460292231
50280191,0x6089e091f3e887131a05e9cd8ff35b9f2bbc4e6e7397d50b187ad9b3cb8790d6,0x628ff693426583D9a7FB391E54366292F509D457,0xE5C91119dFF7e04cd6834a9c9D0A66380EdB4aF5,0x43e0775A55a48E6aabeeF66560C2b24f8E86C372,81533199793882293,784053179668
50280362,0xde67fb9495b1147dd4320e88fd37349e2dce193b272110661c1308fd1ccac1b6,0xF877ACaFA28c19b96727966690b2f44d35aD5976,0xf0d78212ACdBc2F6663D1eAC3eC1B5F27815e925,0x7338383c9CDFDb4191fc55EE148FaD3b5d84f04B,362732,1211664184904
50286816,0x4739334a4d0803520ca58308ad6b2ae9f9664d1eb59f3fb7694cf0abac8e2af9,0x628ff693426583D9a7FB391E54366292F509D457,0x41c19396CF31B68878FAdE8d75244ec9492f5F1E,0xA635C90d2f1CF969f1f1f662b23Daa198F2888ee,794437583477317,9491985691
50288196,0x110148505191958bbdad419cd90bb126ed305f712f82f965c5c2a6ed40bbfa94,0xdE8Df9d942D78edE3Ca06e60712582F79CFfFC64,0xfa35CF1aCf6795e432CF06820605953B4A3e37e8,0x7338383c9CDFDb4191fc55EE148FaD3b5d84f04B,226397117398895054633,716552140526
50292198,0xfc3e89f7c4bd4b7abcf37a0b21f75c4e45f0fc6d2f5c71531ccd7a871210fb44,0xF877ACaFA28c19b96727966690b2f44d35aD5976,0xf0d78212ACdBc2F6663D1eAC3eC1B5F27815e925,0x7338383c9CDFDb4191fc55EE148FaD3b5d84f04B,181367,607001530403
50293081,0x265323699e226186ca41869040b9ec64a8460c6dd11927107719e17621b0fa84,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0x3623c921bfD9d7E9D88E5CBb436B68bE2C2Bc0B7,0x6071B610694db4C502da5370EE39623008DB0E03,1721405862,17496054747186
50293126,0x6e9d51dcebe2bf1ec86f6b1cd9feb66b7012788eeead8413be5f574837186f7a,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0x3623c921bfD9d7E9D88E5CBb436B68bE2C2Bc0B7,0x9bD11E9313f61b2AeD601eb9d8271c3230752e7E,4471318600,46044659687518
50297179,0x15f13632778d417b34947f66ea2d2004fc5877870ae38de33c48d3f5629b47d8,0x628ff693426583D9a7FB391E54366292F509D457,0x41c19396CF31B68878FAdE8d75244ec9492f5F1E,0xA635C90d2f1CF969f1f1f662b23Daa198F2888ee,2019877207838619,23376176175
50302793,0x043d930fb0ffd0542c89b2580e74f928b433417e2a93f653c46fc6e59c0ed42c,0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,0xF00003BF2dCfeb166e3DEe7D0E0ffF197cdFcaBd,0xE9dB729a49eE7bdE5eC05c1D1D68Db901ab5FAde,1031642524,1914200450
